Business Name,Website,Phone Number,Rating,Reviews,Category,Address
"The MAINE Land Brasserie Restaurant, Business Bay Dubai",https://themaine.ae/landbrasserie,+971 4 577 6680,4.8,"1,795",Restaurant,The Opus by Omniyat - Ground Floor - Al A'amal St - Dubai - United Arab Emirates
Calicut Paragon Restaurant LLC,https://www.paragonrestaurant.net/,+971 4 335 8700,4.5,"15,807",South Indian restaurant,Mattar al rayar building - Al Karama - Dubai - United Arab Emirates
Krasota Dubai Restaurant,https://bit.ly/krasota_reservation,+971 4 433 1258,4.9,"1,379",Restaurant,The Address Downtown - G Floor Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
MayaBay Dubai,https://www.mayabayrestaurant.com/dubai,+971 4 275 2500,4.6,701,Asian restaurant,Jumeirah Al Naseem - Dubai - United Arab Emirates
Hunter & Barrel Emirates Hills,https://hunterandbarrel.ae/dubai/emirates-hills/?utm_source=google&utm_medium=organic&utm_campaign=yext&utm_content=booking-emirates-hills,+971 4 589 0970,4.8,"1,488",Steak house,Vida Hills Hotel - Shop 12 Al Naseem St - Al Thanyah Third - Dubai - United Arab Emirates
OSH Del Mar,https://oshdelmar.com/,+971 50 914 4215,4.7,"3,614",Restaurant,The Address Beach Resort M Floor - Dubai Marina - Dubai - United Arab Emirates
Hutong Dubai,https://www.hutong-dubai.com/,+971 4 220 0868,4.7,"1,601",Chinese restaurant,Ground Floor DIFC - Gate Building 6 - Al Sukook Street - Zaa'beel Second - DIFC - Dubai - United Arab Emirates
Delhi Highway Restaurant Dubai,No Website,+971 4 220 8844,4.7,"3,143",Vegetarian restaurant,53 10C St - Al Karama - Dubai - United Arab Emirates
Sisi's Eatery,http://www.sisiseatery.com/,+971 4 343 4701,4.8,"1,659",Austrian restaurant,Al Khail Rd - Hadaeq Sheikh Mohammed Bin Rashid - Dubai - United Arab Emirates
"Carnival by Trèsind Restaurant & Bar | DIFC, Dubai",http://www.carnivalbytresind.com/,+971 800 1604,4.6,"2,940",Restaurant,The Buildings by Daman - 312 Al Sa'ada Street - Zaa'beel Second - DIFC - Dubai - United Arab Emirates
Dampa Seafood Grill - Dubai,No Website,+971 4 299 0884,4.7,"17,299",Seafood restaurant,Baniyas Rd - Port Saeed - Dubai - United Arab Emirates
Mimi Kakushi,https://mimikakushi.ae/,+971 4 379 4811,4.5,916,Japanese restaurant,Four Seasons Resort - 23A St - Jumeirah - Jumeirah 2 - Dubai - United Arab Emirates
Nido Restaurant & Bar,https://reserve.nidodxb.com/,+971 4 333 3055,4.9,"1,682",Restaurant,Sheraton Grand Hotel - 5th Floor - 3 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates
